.text
  00000000   02328020   add $16, $17, $18
  00000004   2268FFF4   addi $8, $19, -12
  00000008   00CB001B   divu $6, $11
  0000000C   013B001B   divu $9, $27 # comment(1)
  00000010   00005010   mfhi $10
  00000014   3B370FB6   xori $23, $25, 4022 # comment(3)
  00000018   3B736C57   xori $19, $27, 27735
  0000001C   00006012   mflo $12
  00000020   001E282B   sltu $5, $0, $30
  00000024   3C131ED9   lui $19, 7897
  00000028   02B6B021   addu $22, $21, $22 # comment(8)
  0000002C   2F0E51D6   sltiu $14, $24, 20950
  00000030   2FFD9331   sltiu $29, $31, -27855 # comment(10)
  00000034   39BB6FEB   xori $27, $13, 28651
  00000038   03D1001B   divu $30, $17
  0000003C   3C0E69D0   lui $14, 27088
  00000040   00800013   mtlo $4
  00000044   3C02636E   lui $2, 25454
  00000048   22A78C5B   addi $7, $21, -29605
  0000004C   0396001A   div $28, $22
  00000050   0008B943   sra $23, $8, 5 # comment(18)
  00000054   21814584   addi $1, $12, 17796 # comment(19)
  00000058   001B7025   or $14, $0, $27 # comment(20)
  0000005C   260157DB   addiu $1, $16, 22491 # comment(21)
  00000060   01FD6026   xor $12, $15, $29 # comment(22)
  00000064   01C00011   mthi $14
  00000068   2647FF88   addiu $7, $18, -120 # comment(24)
  0000006C   2E1FFAAE   sltiu $31, $16, -1362
  00000070   35775ED7   ori $23, $11, 24279
  00000074   0170E824   and $29, $11, $16
  00000078   2B59C65B   slti $25, $26, -14757
  0000007C   00194300   sll $8, $25, 12
  00000080   39887B02   xori $8, $12, 31490 # comment(30)
  00000084   02EF4821   addu $9, $23, $15 # comment(31)
  00000088   038E7825   or $15, $28, $14 # comment(32)
  0000008C   0019CB43   sra $25, $25, 13 # comment(33)
  00000090   008D9004   sllv $18, $13, $4 # comment(34)
  00000094   00CC6823   subu $13, $6, $12
  00000098   02B7F806   srlv $31, $23, $21 # comment(36)
  0000009C   000CE203   sra $28, $12, 8
  000000A0   0370E004   sllv $28, $16, $27 # comment(38)
  000000A4   00EAD82A   slt $27, $7, $10
  000000A8   0000E810   mfhi $29 # comment(40)
  000000AC   0052D022   sub $26, $2, $18 # comment(41)
  000000B0   0384001A   div $28, $4
  000000B4   001BF800   sll $31, $27, 0 # comment(43)
  000000B8   39B11AA4   xori $17, $13, 6820 # comment(44)
  000000BC   02A00013   mtlo $21
  000000C0   03E40019   multu $31, $4
  000000C4   2B34CE27   slti $20, $25, -12761 # comment(47)
  000000C8   0396402A   slt $8, $28, $22 # comment(48)
  000000CC   37532293   ori $19, $26, 8851 # comment(49)
  000000D0   03D20019   multu $30, $18
  000000D4   0026A82B   sltu $21, $1, $6 # comment(51)
  000000D8   36DE37C3   ori $30, $22, 14275
  000000DC   359D4C00   ori $29, $12, 19456 # comment(53)
  000000E0   00CF0019   multu $6, $15 # comment(54)
  000000E4   01D6D82B   sltu $27, $14, $22 # comment(55)
  000000E8   02B40018   mult $21, $20
  000000EC   3A46516A   xori $6, $18, 20842
  000000F0   02200011   mthi $17 # comment(58)
  000000F4   281333D6   slti $19, $0, 13270
  000000F8   02000011   mthi $16 # comment(60)
  000000FC   0087001B   divu $4, $7 # comment(61)
  00000100   00E00011   mthi $7
  00000104   2C61CA57   sltiu $1, $3, -13737
  00000108   00009010   mfhi $18 # comment(64)
  0000010C   03BF4026   xor $8, $29, $31
  00000110   2B7977E0   slti $25, $27, 30688 # comment(66)
  00000114   00FB782B   sltu $15, $7, $27 # comment(67)
  00000118   036B282A   slt $5, $27, $11
  0000011C   00795025   or $10, $3, $25 # comment(69)
  00000120   001872C2   srl $14, $24, 11
  00000124   001E3CC0   sll $7, $30, 19
  00000128   001B1E82   srl $3, $27, 26 # comment(72)
  0000012C   021DD007   srav $26, $29, $16 # comment(73)
  00000130   300E3C38   andi $14, $0, 15416 # comment(74)
  00000134   006F0019   multu $3, $15 # comment(75)
  00000138   0075E02A   slt $28, $3, $21 # comment(76)
  0000013C   00008812   mflo $17 # comment(77)
  00000140   33514676   andi $17, $26, 18038
  00000144   004AA823   subu $21, $2, $10 # comment(79)
  00000148   00106CC2   srl $13, $16, 19
  0000014C   00677021   addu $14, $3, $7 # comment(81)
  00000150   034A2804   sllv $5, $10, $26
  00000154   00D30018   mult $6, $19 # comment(83)
  00000158   00514807   srav $9, $17, $2
  0000015C   284D02A0   slti $13, $2, 672
  00000160   0000A812   mflo $21
  00000164   03CBF821   addu $31, $30, $11
  00000168   3C112C97   lui $17, 11415 # comment(88)
  0000016C   02B81026   xor $2, $21, $24 # comment(89)
  00000170   31561633   andi $22, $10, 5683 # comment(90)
  00000174   009D6824   and $13, $4, $29 # comment(91)
  00000178   00B52020   add $4, $5, $21
  0000017C   027F8823   subu $17, $19, $31
  00000180   020B4024   and $8, $16, $11
  00000184   01800013   mtlo $12
  00000188   01E5C020   add $24, $15, $5 # comment(96)
  0000018C   02382824   and $5, $17, $24
  00000190   2A144D05   slti $20, $16, 19717 # comment(98)
  00000194   02400011   mthi $18 # comment(99)
  00000198   3A1423AD   xori $20, $16, 9133
  0000019C   0328D807   srav $27, $8, $25 # comment(101)
  000001A0   3C191B5F   lui $25, 7007 # comment(102)
  000001A4   00004024   and $8, $0, $0 # comment(103)
  000001A8   00148200   sll $16, $20, 8
  000001AC   017D0824   and $1, $11, $29 # comment(105)
  000001B0   00131A03   sra $3, $19, 8
  000001B4   01A4482A   slt $9, $13, $4
  000001B8   34711709   ori $17, $3, 5897
  000001BC   28688BF6   slti $8, $3, -29706
  000001C0   3C0074F9   lui $0, 29945 # comment(110)
  000001C4   007D001B   divu $3, $29
  000001C8   039CA82B   sltu $21, $28, $28 # comment(112)
  000001CC   00B30006   srlv $0, $19, $5
  000001D0   00151020   add $2, $0, $21 # comment(114)
  000001D4   3994785F   xori $20, $12, 30815
  000001D8   0128E826   xor $29, $9, $8
  000001DC   00009812   mflo $19 # comment(117)
  000001E0   011CE027   nor $28, $8, $28 # comment(118)
  000001E4   000DD7C2   srl $26, $13, 31
  000001E8   018DF022   sub $30, $12, $13
  000001EC   00001812   mflo $3
  000001F0   0122F02B   sltu $30, $9, $2
  000001F4   01486825   or $13, $10, $8
  000001F8   00A62022   sub $4, $5, $6
  000001FC   00000011   mthi $0
  00000200   006C0019   multu $3, $12
  00000204   03114025   or $8, $24, $17
  00000208   2F200F7B   sltiu $0, $25, 3963 # comment(128)
  0000020C   03808807   srav $17, $0, $28
  00000210   0060C027   nor $24, $3, $0 # comment(130)
  00000214   00B8C820   add $25, $5, $24
  00000218   01257007   srav $14, $5, $9
  0000021C   001A51C0   sll $10, $26, 7
  00000220   03825826   xor $11, $28, $2
  00000224   0000B503   sra $22, $0, 20 # comment(135)
  00000228   01F5C004   sllv $24, $21, $15
  0000022C   0071001B   divu $3, $17
  00000230   000BE680   sll $28, $11, 26
  00000234   28E3843A   slti $3, $7, -31686
  00000238   00007810   mfhi $15 # comment(140)
  0000023C   369423AD   ori $20, $20, 9133 # comment(141)
  00000240   0336E022   sub $28, $25, $22
  00000244   0017E343   sra $28, $23, 13 # comment(143)
  00000248   009AE021   addu $28, $4, $26
  0000024C   03196020   add $12, $24, $25 # comment(145)
  00000250   004D0820   add $1, $2, $13 # comment(146)
  00000254   00017440   sll $14, $1, 17
  00000258   028AC821   addu $25, $20, $10 # comment(148)
  0000025C   003BD827   nor $27, $1, $27 # comment(149)
  00000260   0100E804   sllv $29, $0, $8
  00000264   3C195512   lui $25, 21778 # comment(151)
  00000268   026F6823   subu $13, $19, $15
  0000026C   010BF026   xor $30, $8, $11
  00000270   223C5295   addi $28, $17, 21141 # comment(154)
  00000274   00005812   mflo $11
  00000278   001A1700   sll $2, $26, 28 # comment(156)
  0000027C   03F2282A   slt $5, $31, $18 # comment(157)
  00000280   00793820   add $7, $3, $25
  00000284   02A9B824   and $23, $21, $9 # comment(159)
  00000288   387D0951   xori $29, $3, 2385 # comment(160)
  0000028C   03659006   srlv $18, $5, $27
  00000290   38CC1BD5   xori $12, $6, 7125
  00000294   001333C0   sll $6, $19, 15
  00000298   276A6447   addiu $10, $27, 25671
  0000029C   0000A812   mflo $21 # comment(165)
  000002A0   03209027   nor $18, $25, $0 # comment(166)
  000002A4   0258B007   srav $22, $24, $18
  000002A8   00EDA806   srlv $21, $13, $7
  000002AC   02A62024   and $4, $21, $6
  000002B0   2585A17B   addiu $5, $12, -24197 # comment(170)
  000002B4   02319024   and $18, $17, $17
  000002B8   03D21823   subu $3, $30, $18
  000002BC   0000C812   mflo $25
  000002C0   006D4023   subu $8, $3, $13
  000002C4   02400013   mtlo $18 # comment(175)
  000002C8   03C2A806   srlv $21, $2, $30 # comment(176)
  000002CC   02218022   sub $16, $17, $1
  000002D0   2B696F9A   slti $9, $27, 28570
  000002D4   26D15A09   addiu $17, $22, 23049
  000002D8   02C82007   srav $4, $8, $22
  000002DC   01D10806   srlv $1, $17, $14 # comment(181)
  000002E0   39F13776   xori $17, $15, 14198
  000002E4   003DB822   sub $23, $1, $29 # comment(183)
  000002E8   273B8D40   addiu $27, $25, -29376 # comment(184)
  000002EC   384D7A45   xori $13, $2, 31301 # comment(185)
  000002F0   27928A34   addiu $18, $28, -30156 # comment(186)
  000002F4   00310018   mult $1, $17 # comment(187)
  000002F8   00008810   mfhi $17
  000002FC   2598736C   addiu $24, $12, 29548
  00000300   2298A528   addi $24, $20, -23256
  00000304   360C1CA0   ori $12, $16, 7328 # comment(191)
  00000308   021C8807   srav $17, $28, $16
  0000030C   0133F006   srlv $30, $19, $9
  00000310   0311F825   or $31, $24, $17 # comment(194)
  00000314   36EB021C   ori $11, $23, 540
  00000318   021EC020   add $24, $16, $30
  0000031C   02243823   subu $7, $17, $4
  00000320   02600013   mtlo $19 # comment(198)
  00000324   01B7A824   and $21, $13, $23 # comment(199)
  00000328   36E96161   ori $9, $23, 24929 # comment(200)
  0000032C   26022795   addiu $2, $16, 10133 # comment(201)
  00000330   01208021   addu $16, $9, $0
  00000334   028A4826   xor $9, $20, $10 # comment(203)
  00000338   010B0824   and $1, $8, $11
  0000033C   00165D00   sll $11, $22, 20
  00000340   2E88CA3D   sltiu $8, $20, -13763 # comment(206)
  00000344   02EDA024   and $20, $23, $13
  00000348   2E123EB3   sltiu $18, $16, 16051
  0000034C   2C9EB3F0   sltiu $30, $4, -19472 # comment(209)
  00000350   00134CC2   srl $9, $19, 19
  00000354   000B3303   sra $6, $11, 12 # comment(211)
  00000358   0017EA43   sra $29, $23, 9 # comment(212)
  0000035C   000CB5C3   sra $22, $12, 23
  00000360   00619025   or $18, $3, $1 # comment(214)
  00000364   02600013   mtlo $19 # comment(215)
  00000368   0307A82A   slt $21, $24, $7
  0000036C   03398806   srlv $17, $25, $25
  00000370   0000D010   mfhi $26
  00000374   02C00013   mtlo $22 # comment(219)
  00000378   00DFA024   and $20, $6, $31 # comment(220)
  0000037C   0244D823   subu $27, $18, $4
  00000380   03800013   mtlo $28 # comment(222)
  00000384   00AC7026   xor $14, $5, $12
  00000388   005CD823   subu $27, $2, $28
  0000038C   03B7E820   add $29, $29, $23 # comment(225)
  00000390   0247E824   and $29, $18, $7 # comment(226)
  00000394   03CCD023   subu $26, $30, $12 # comment(227)
  00000398   24BC701E   addiu $28, $5, 28702 # comment(228)
  0000039C   001D0018   mult $0, $29 # comment(229)
  000003A0   0351001A   div $26, $17
  000003A4   3C1F6BF2   lui $31, 27634
  000003A8   00E3F02A   slt $30, $7, $3
  000003AC   00F90019   multu $7, $25
  000003B0   3C07038F   lui $7, 911 # comment(234)
  000003B4   00A8A821   addu $21, $5, $8
  000003B8   2AB7EABB   slti $23, $21, -5445
  000003BC   20C9E619   addi $9, $6, -6631
  000003C0   2CBE4E8F   sltiu $30, $5, 20111 # comment(238)
  000003C4   03A80020   add $0, $29, $8 # comment(239)
  000003C8   0000B012   mflo $22 # comment(240)
  000003CC   2379E08A   addi $25, $27, -8054
  000003D0   01534021   addu $8, $10, $19 # comment(242)
  000003D4   0000C810   mfhi $25
  000003D8   013C7820   add $15, $9, $28 # comment(244)
  000003DC   031EC020   add $24, $24, $30
  000003E0   2389A023   addi $9, $28, -24541
  000003E4   00004810   mfhi $9
  000003E8   03600013   mtlo $27
  000003EC   00C00013   mtlo $6 # comment(249)
  000003F0   2E3ADD07   sltiu $26, $17, -8953
  000003F4   000D4900   sll $9, $13, 4 # comment(251)
  000003F8   00414821   addu $9, $2, $1
  000003FC   00001012   mflo $2
  00000400   0008FC83   sra $31, $8, 18 # comment(254)
  00000404   215B9BE2   addi $27, $10, -25630 # comment(255)
  00000408   32F8330B   andi $24, $23, 13067 # comment(256)
  0000040C   014BF004   sllv $30, $11, $10
  00000410   000619C2   srl $3, $6, 7 # comment(258)
  00000414   3AB26ADC   xori $18, $21, 27356 # comment(259)
